hip_y,leg_scale,disk_radius,disk_com_x,disk_com_z,complete_com_x,complete_com_z,complete_com_radial_offset,rolling_foot_radial_margin,score,mean_coast_distance,direction_asymmetry,mean_final_speed,mean_slip_rms,mean_lateral_drift,mean_axis_tilt_rms_deg,mean_disk_contact_fraction,mean_foot_contact_fraction,mean_actuator_work,rest_drift,failed,forward_distance,reverse_distance,forward_final_speed,reverse_final_speed
0.09,0.85,0.2,-0.005,0.035,-0.0005535214652071653,0.0033855479621948403,0.003430498654243538,0.06004164673779719,3.3296405389356742,3.516379594303039,0.0035124444723138026,0.8503754627751199,0.04710920719352262,0.0018810705889942818,0.03426974159472678,0.98,0.0,691.6204440718084,-0.0401901318847968,False,3.514623372066882,3.518135816539196,0.8650009880703206,0.8357499374799193
0.09,0.85,0.2,0.0,0.035,0.001821872856559399,0.0033855479621948403,0.0038446268622311765,0.06004164673779719,3.2791061486231214,3.5151451599730157,0.0062148641486357015,0.8464764802966174,0.04714699011448814,0.0006541698544809819,0.016006313082169724,0.981,0.0,691.9951037193953,0.13739993184209806,False,3.5182525920473338,3.512037727898698,0.8194223661125346,0.8735305944807001
0.09,0.85,0.2,-0.01,0.035,-0.002928915786973725,0.0033855479621948403,0.004476659769460435,0.06004164673779719,3.234692839684542,3.5137426968771646,0.013287419556531344,0.8536642647168096,0.04722533259623212,0.0004877387216227691,0.015640773948655446,0.978,0.0,692.1452585986899,-0.21577855697558637,False,3.5070989870988987,3.52038640665543,0.8972273263022712,0.810101203131348
0.09,0.85,0.2,-0.005,0.03,-0.0005535214652071653,0.0010101536404282796,0.0011518664808542669,0.06004164673779719,3.2296398484115265,3.413795792832642,0.004365681766041796,0.8602468916476014,0.0465206214970576,0.0006542226312180944,0.015200319119340762,0.98,0.0,691.7053779335059,-0.03602841049803314,False,3.411612951949621,3.415978633715663,0.8659851461310958,0.854508637164107
0.09,0.85,0.2,0.005,0.035,0.004197267178325963,0.0033855479621948403,0.00539249355776843,0.06004164673779719,3.1846719911344326,3.5115231298726672,0.01845747564816058,0.8496685163589837,0.04727229927683674,0.00047987453265526325,0.010971187276807461,0.9775,0.0,692.1488397700659,0.30608920736168277,False,3.5207518676967475,3.502294392048587,0.795318814526279,0.9040182181916883
0.09,0.85,0.2,0.0,0.03,0.001821872856559399,0.0010101536404282796,0.0020831781207420576,0.06004164673779719,3.181392008038006,3.412983327926314,0.012386045538704149,0.8661410858438997,0.04621421150277124,0.0005530976225030857,0.026424392879729332,0.9795,0.0,692.5992233892207,0.12278389818543053,False,3.419176350695666,3.406790305156962,0.8387623029458896,0.8935198687419098
0.09,0.85,0.2,-0.01,0.03,-0.002928915786973725,0.0010101536404282796,0.003098218530777715,0.06004164673779719,3.140167254796002,3.411242389020207,0.021356197618239925,0.8609374314784994,0.04640398522944044,0.00034353979740308786,0.013639697068796176,0.98,0.0,692.248761110797,-0.1930924825707323,False,3.400564290211087,3.421920487829327,0.8953797205803327,0.8264951423766663
0.09,0.85,0.2,-0.005,0.025,-0.0005535214652071653,-0.001365240681338309,0.0014731829928512536,0.06004164673779719,3.119293772988391,3.301484748723348,0.005659359370935313,0.845066854748189,0.04522269050252639,0.00035048630854229014,0.012311735902930328,0.98,0.0,692.7118996957477,-0.03201540846599923,False,3.2986550690378804,3.3043144284088157,0.8384406352587592,0.8516930742376188
0.09,0.85,0.2,0.005,0.03,0.004197267178325963,0.0010101536404282796,0.004317112709152136,0.06004164673779719,3.0911001181019118,3.408364252723548,0.031116109590005436,0.8683270632640581,0.046410556241941105,0.0014458059668949054,0.02412830029889153,0.978,0.0,692.2878124203492,0.27414415927509606,False,3.4239223075185508,3.3928061979285453,0.8139736513464617,0.9226804751816545
0.09,0.85,0.2,0.0,0.025,0.001821872856559399,-0.001365240681338309,0.0022766428844790292,0.06004164673779719,3.0722284615593463,3.300322600463367,0.018797705165152223,0.847190450346944,0.04524859534558859,0.001515111063018853,0.0436396614875131,0.979,0.0,692.70808801047,0.10916907238414392,False,3.309721453045943,3.290923747880791,0.822432308559233,0.8719485921346549
0.09,0.85,0.2,-0.01,0.025,-0.002928915786973725,-0.001365240681338309,0.0032314748653153725,0.06004164673779719,3.034630593759021,3.2986540071159296,0.029365614631355896,0.8407009560408658,0.04542860060004436,0.0002145125758717116,0.006845726649833217,0.9764999999999999,0.0,692.320923908301,-0.17138234643662545,False,3.2839711998002517,3.3133368144316075,0.8587163446184592,0.8226855674632723
0.09,0.85,0.2,-0.005,0.02,-0.0005535214652071653,-0.003740635003104842,0.0037813669801935713,0.06004164673779719,3.0033959797224212,3.1835013491316584,0.005793204191253398,0.7953058604261355,0.04380624318798741,0.0009623701833132315,0.03522880297797804,0.979,0.0,692.8123140864951,-0.028183080409411816,False,3.1806047470360315,3.186397951227285,0.7852839988573735,0.8053277219948974
