hip_y,leg_scale,disk_radius,score,distance_x,mean_velocity_x,velocity_error,roll_pitch_rms_deg,roll_pitch_rate_rms,tracking_rmse,torque_saturation_fraction,disk_contact_fraction,folded_radial_margin,folded_half_width,elapsed,failed
0.09,0.85,0.2,0.021619125624044548,0.2215343277389682,0.027691790967371024,0.0023082090326289745,1.0673442745090511,0.22079318692597372,0.047877864685029366,0.0,0.0,-0.0017875759633160515,0.13038719275897453,8.0,False
0.085,0.85,0.2,0.021595457122420475,0.22098268481808925,0.027622835602261156,0.002377164397738843,1.0420374545974045,0.2147514771250568,0.04783569254994756,0.0,0.0,-0.0017875759633160515,0.12538719275897456,8.0,False
0.07,0.85,0.2,0.0215505112670347,0.21867448957326532,0.027334311196658165,0.0026656888033418334,0.9094327768266672,0.1843284257967029,0.04760610978325897,0.0,0.0,-0.0017875759633160515,0.11038719275897454,8.0,False
0.07,0.9,0.2,0.01709996193128377,0.20262952651101077,0.025328690813876346,0.004671309186123653,1.065192057574998,0.21060651494759405,0.049683788726734984,0.0,0.0,-0.004941294000497948,0.111589380568326,8.0,False
0.085,0.9,0.2,0.016765246951152574,0.20274735436106803,0.025343419295133503,0.0046565807048664955,1.2065639323136228,0.2438442426859798,0.05009875481311072,0.0,0.0,-0.004941294000497948,0.126589380568326,8.0,False
0.09,0.9,0.2,0.016732146956356928,0.20277765765637648,0.02534720720704706,0.004652792792952939,1.2226315288713563,0.24753319763448065,0.050117661517162286,0.0,0.0,-0.004941294000497948,0.131589380568326,8.0,False
0.085,0.85,0.18,0.011610751652802377,0.2211767452911184,0.0276470931613898,0.0023529068386102005,1.0464614420860265,0.2162613683841424,0.047834262668708265,0.0,0.0,-0.02178757596331607,0.12538719275897456,8.0,False
0.09,0.85,0.18,0.011608774765682561,0.22130467200604628,0.027663084000755785,0.0023369159992442136,1.0552062555289583,0.21850402059111093,0.04782504095386049,0.0,0.0,-0.02178757596331607,0.13038719275897453,8.0,False
0.07,0.85,0.18,0.011548029551591156,0.2185482899525437,0.02731853624406796,0.0026814637559320377,0.8978137372912783,0.18277295439280278,0.04757246455815466,0.0,0.0,-0.02178757596331607,0.11038719275897454,8.0,False
0.07,0.9,0.18,0.007061983695437243,0.20245627305350364,0.025307034131687955,0.004692965868312044,1.0662221242256527,0.21176365071931605,0.04967050923461115,0.0,0.0,-0.024941294000497966,0.111589380568326,8.0,False
