hip_y,leg_scale,disk_radius,disk_com_x,disk_com_z,complete_com_x,complete_com_z,complete_com_radial_offset,rolling_foot_radial_margin,score,mean_coast_distance,direction_asymmetry,mean_final_speed,mean_slip_rms,mean_lateral_drift,mean_axis_tilt_rms_deg,mean_disk_contact_fraction,mean_foot_contact_fraction,mean_actuator_work,rest_drift,failed,forward_distance,reverse_distance,forward_final_speed,reverse_final_speed
0.09,1.0,0.2,0.0,0.03,0.0021433798312463525,0.006547109682745467,0.006889029126001217,0.02770631700768031,3.378939807068906,3.6336788432042577,0.0038623212942319185,0.7870532165786905,0.0490557077531209,0.0005296198524874492,0.013631536405552376,0.9604999999999999,0.0,658.2184558559275,0.18478851488286885,False,3.6356100038513737,3.6317476825571418,0.7682404867917015,0.8058659463656797
0.07,1.0,0.2,0.0,0.03,0.0021433798312463525,0.006547109682745467,0.006889029126001217,0.02770631700768031,3.376484985628548,3.6336768048750336,0.002507259636154391,0.7869842520437011,0.04916050002485686,0.006240156896032441,0.1195256423645461,0.9604999999999999,0.0,658.2389772308705,0.18480202847412192,False,3.6349304346931106,3.632423175056956,0.7684706991304563,0.8054978049569459
0.09,0.85,0.2,0.0,0.03,0.001821872856559399,0.0010101536404282796,0.0020831781207420576,0.06004164673779719,3.181392008038006,3.412983327926314,0.012386045538704149,0.8661410858438997,0.04621421150277124,0.0005530976225030857,0.026424392879729332,0.9795,0.0,692.5992233892207,0.12278389818543053,False,3.419176350695666,3.406790305156962,0.8387623029458896,0.8935198687419098
0.07,0.85,0.2,0.0,0.03,0.001821872856559399,0.0010101536404282796,0.0020831781207420576,0.06004164673779719,3.1805802234102467,3.412842113663694,0.01263571529440366,0.8661818819279277,0.04629554886537112,0.0017592354542420839,0.04233555741365223,0.982,0.0,692.6244258462266,0.12301416832473341,False,3.4191599713108958,3.406524256016492,0.8388540671826243,0.8935096966732309
0.09,0.85,0.17,0.0,0.03,0.001821872856559399,0.0010101536404283074,0.002083178120742071,0.030041646737797134,3.1562622237762623,3.396427472802333,0.0031575512586909937,0.811140770773966,0.0551142087739171,0.002503874635764031,0.048487903833751525,0.9784999999999999,0.0,693.195703865734,0.13778263022214052,False,3.3980062484316784,3.3948486971729874,0.8292712389565732,0.7930103025913586
0.07,0.85,0.17,0.0,0.03,0.001821872856559399,0.0010101536404283074,0.002083178120742071,0.030041646737797134,3.1552435299368247,3.3963642052583225,0.0031555265329572535,0.8112941199566415,0.05493869503109805,0.0047568566064144216,0.09797824759046629,0.981,0.0,693.097589273038,0.13795932377294823,False,3.397941968524801,3.394786441991844,0.8296421099305776,0.7929461299827053
0.07,1.0,0.17,0.0,0.03,0.0021433798312463525,0.006547109682745494,0.006889029126001243,-0.0022936829923197177,3.0861233100812524,3.369549565674782,0.0018556368823698932,0.7392405440546025,0.055640968642772584,0.001281306879285492,0.05387157843770316,0.9584999999999999,0.0465,643.544524965096,0.2235413024828414,False,3.3704773841159668,3.368621747233597,0.7574204033103239,0.7210606847988811
0.09,1.0,0.2,-0.03,0.03,-0.012108986099353016,0.006547109682745467,0.013765616206774908,0.02770631700768031,3.0796867443070757,3.6009182883197255,0.02087383586389313,0.8301024747068677,0.04842287455520358,0.0009856712557920278,0.01754465471317698,0.9775,0.0,656.6479184004864,-0.7049513603713625,False,3.590481370387779,3.6113552062516723,0.9409241433204864,0.7192808060932492
0.07,1.0,0.2,-0.03,0.03,-0.012108986099353016,0.006547109682745467,0.013765616206774908,0.02770631700768031,3.0793745435457045,3.6009043679301938,0.021774594695425087,0.8302170669166298,0.04835163298203125,9.360805161363835e-05,0.008589291488538545,0.974,0.0,656.6350128008066,-0.7049514507536315,False,3.590017070582481,3.6117916652779063,0.9409357144717976,0.719498419361462
0.09,1.0,0.17,0.0,0.03,0.0021433798312463525,0.006547109682745494,0.006889029126001243,-0.0022936829923197177,3.0571441937105956,3.3562032273305795,0.030809657224215137,0.7240834063557475,0.05604156807576043,0.002077632134817843,0.06642524367278664,0.9595,0.051000000000000004,642.2180232230975,0.22353629954124396,False,3.340798398718472,3.371608055942687,0.7231049126211818,0.7250619000903131
